"week_no","num_transactions","total_sales","total_discounts"
1,"142","5211.16","1037.25"
2,"324","10821.35","2147.61"
3,"482","13498.20","2548.16"
4,"545","15965.99","2883.95"
5,"757","20139.82","3962.06"
6,"861","24923.90","5132.72"
7,"999","28073.97","4771.35"
8,"1086","31793.77","5698.92"
9,"1212","31244.17","5900.41"
10,"1553","42994.38","8655.91"
11,"1823","51011.30","8837.21"
12,"1926","53187.30","10357.73"
13,"2203","55203.01","10504.25"
14,"2433","62875.20","13339.03"
15,"2743","74261.29","16038.85"
16,"2840","79135.01","14914.72"
17,"3048","79556.35","13862.11"
18,"3080","75968.18","13037.99"
19,"2973","72536.88","12466.10"
20,"3091","86108.90","16932.09"
21,"2999","83262.33","14294.23"
22,"3092","79133.82","13000.65"
23,"2947","76069.35","12541.63"
24,"3112","88706.10","16149.02"
25,"3094","88926.82","15142.77"
26,"2891","79208.92","13134.35"
27,"2845","79909.08","13706.61"
28,"2783","78556.20","12113.73"
29,"2997","89026.98","15728.39"
30,"2894","80131.86","13202.66"
31,"2820","77643.88","14743.45"
32,"2910","76723.95","12743.40"
33,"2957","85802.29","15343.91"
34,"2871","81676.13","15111.82"
35,"2785","82983.83","15104.99"
36,"3022","84083.89","14276.20"
37,"2958","87324.25","14846.54"
38,"2894","90906.21","15376.49"
39,"2883","82427.45","13708.19"
40,"2794","89984.76","14147.43"
41,"2982","83638.59","14269.53"
42,"2919","93370.29","15431.72"
43,"2849","83953.87","14418.59"
44,"3001","83093.82","15745.31"
45,"2861","79682.33","14525.61"
46,"3086","95878.08","15487.99"
47,"2926","89835.46","13827.90"
48,"2866","80300.28","13498.53"
49,"2944","85805.50","14660.08"
50,"2932","90219.68","15595.60"
51,"2982","85529.53","15135.23"
52,"2939","84886.49","15540.46"
53,"2868","83239.75","14859.27"
54,"2932","87914.89","15640.48"
55,"3005","87062.48","16732.43"
56,"2963","89058.04","15201.35"
57,"2957","82604.91","13603.55"
58,"2859","83694.69","13583.10"
59,"3083","96701.23","16050.95"
60,"3142","90987.01","15693.85"
61,"3156","90585.63","16590.89"
62,"3054","88184.50","17276.15"
63,"3107","92808.76","16466.02"
64,"3046","91182.23","15847.90"
65,"3067","87397.57","13874.23"
66,"2965","77688.26","15074.65"
67,"3079","90950.73","20027.57"
68,"3283","97967.05","18356.47"
69,"3033","86409.91","13951.75"
70,"3004","84986.99","13965.26"
71,"2991","83873.20","14152.89"
72,"3209","96930.47","17460.65"
73,"3052","87531.26","15319.67"
74,"2999","85641.31","14035.37"
75,"2978","83162.99","13951.90"
76,"2976","88851.40","16676.73"
77,"3004","92161.44","15590.86"
78,"2825","81102.03","12666.02"
79,"2943","82474.62","15185.54"
80,"3006","83203.75","13091.29"
81,"2988","90168.04","14420.41"
82,"3006","86945.12","12930.78"
83,"2945","83200.92","12988.66"
84,"2923","85936.42","13879.76"
85,"3132","97663.46","17907.26"
86,"2930","86445.24","14226.87"
87,"2909","91391.47","15474.07"
88,"3093","92469.59","15720.78"
89,"2893","90544.76","14774.79"
90,"2915","92939.24","15653.23"
91,"2933","86923.35","14458.11"
92,"3362","113192.87","17986.60"
93,"2547","80832.16","14527.18"
94,"3005","96964.24","16688.48"
95,"2878","88895.06","16314.49"
96,"2824","86810.11","15039.48"
97,"2913","88839.26","17244.16"
98,"3037","98949.62","18163.62"
99,"2851","101363.92","14792.27"
100,"2793","93063.10","13457.67"
101,"2682","84407.25","13917.21"
102,"2383","71968.63","11277.80"
